BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460660.774927,1.00117,0.00090,1.1980,0.63,0.28,21.71,22826
2460660.775083,0.99721,0.00089,1.1973,1.77,-0.39,22.58,19895
2460660.775239,0.99873,0.00089,1.1966,1.81,-1.33,22.66,20517
2460660.775389,1.00236,0.00089,1.1959,-0.10,0.56,21.97,25091
2460660.775545,1.00345,0.00090,1.1952,2.12,-2.22,22.15,21082
2460660.775702,0.99840,0.00089,1.1945,-0.46,0.07,20.96,24339
2460660.775859,0.99832,0.00089,1.1938,0.07,0.85,22.29,20783
2460660.776015,0.99839,0.00089,1.1930,1.28,-0.47,22.30,19844
2460660.776171,0.99616,0.00089,1.1923,-0.33,-1.42,22.51,19911
2460660.776328,0.99670,0.00089,1.1916,1.03,2.51,21.65,23112
2460660.776477,0.99611,0.00088,1.1909,-2.68,-0.16,21.14,27242
2460660.776633,1.00263,0.00089,1.1902,0.58,1.88,21.52,26128
2460660.776789,1.00025,0.00089,1.1895,-1.25,-1.79,21.15,25212
2460660.776946,1.00063,0.00089,1.1888,-1.14,1.82,21.46,23575
2460660.777102,0.99927,0.00088,1.1881,-1.32,-1.84,20.57,28571
2460660.777258,0.99838,0.00088,1.1874,0.52,0.59,20.94,27037
2460660.777414,0.99741,0.00088,1.1867,1.31,-0.33,20.50,29763
2460660.777570,1.00072,0.00088,1.1861,2.84,-0.77,21.06,26677
2460660.777727,0.99952,0.00088,1.1854,1.27,0.06,21.63,24196
2460660.777883,1.00204,0.00089,1.1847,0.44,0.95,21.92,22697
2460660.778039,1.00111,0.00088,1.1840,0.72,1.55,21.80,22298
2460660.778195,0.99744,0.00088,1.1833,-0.02,0.89,21.86,25128
2460660.778351,1.00218,0.00088,1.1826,0.70,-0.76,19.99,29900
2460660.778500,1.00027,0.00088,1.1820,-0.85,0.48,20.52,29712
2460660.778656,0.99694,0.00088,1.1813,0.07,-0.78,21.87,23001
2460660.778812,0.99867,0.00089,1.1806,-0.23,1.36,22.49,18311
2460660.778968,0.99791,0.00088,1.1799,0.12,-1.53,24.07,18627
2460660.779125,1.00055,0.00088,1.1792,-1.12,-0.48,22.31,20075
2460660.779281,0.99920,0.00088,1.1786,-0.40,-0.75,21.77,22802
2460660.779437,1.00071,0.00088,1.1779,0.42,1.16,21.62,23914
2460660.779593,0.99960,0.00088,1.1772,2.29,-1.80,21.04,26953
2460660.779749,0.99821,0.00087,1.1766,1.94,-0.21,21.17,24078
2460660.779905,1.00134,0.00088,1.1759,2.41,0.03,20.89,28421
2460660.780075,1.00088,0.00088,1.1752,0.27,1.67,20.98,25912
2460660.780231,0.99831,0.00087,1.1745,-0.44,-1.30,20.29,30158
2460660.780388,0.99912,0.00087,1.1739,-0.50,-0.17,21.17,28922
2460660.780536,0.99830,0.00087,1.1732,0.20,0.30,20.98,25461
2460660.780693,0.99862,0.00087,1.1726,1.48,-0.34,20.53,28816
2460660.780849,0.99778,0.00087,1.1719,2.14,0.64,19.82,33074
2460660.781005,0.99802,0.00087,1.1713,-0.77,-0.02,21.26,28321
2460660.781161,1.00051,0.00087,1.1706,-0.38,1.42,22.24,23786
2460660.781317,0.99881,0.00087,1.1700,-1.79,-2.29,21.78,23603
2460660.781473,0.99932,0.00087,1.1693,-2.73,0.92,22.27,24218
2460660.781630,1.00030,0.00087,1.1686,-0.71,0.49,21.09,26955
2460660.781779,0.99724,0.00087,1.1680,0.22,-1.04,20.67,25905
2460660.781935,0.99963,0.00087,1.1674,1.79,0.36,21.99,25440
2460660.782092,0.99897,0.00087,1.1667,1.65,0.74,22.80,21750
2460660.782248,0.99810,0.00087,1.1661,1.05,1.11,21.59,24468
2460660.782404,0.99656,0.00087,1.1655,0.98,-1.23,23.33,19739
2460660.782561,0.99842,0.00087,1.1648,-0.41,1.43,22.44,20395
2460660.782717,0.99726,0.00086,1.1642,0.86,-2.07,21.23,24486
2460660.782873,0.99813,0.00087,1.1636,0.38,0.34,22.82,18785
2460660.783029,0.99994,0.00086,1.1629,-0.97,1.81,21.34,24240
2460660.783185,0.99797,0.00086,1.1623,1.40,0.02,20.78,27081
2460660.783341,0.99838,0.00086,1.1617,0.19,0.99,22.12,21694
2460660.783498,0.99788,0.00087,1.1610,-1.50,0.57,22.63,19867
2460660.783654,1.00166,0.00087,1.1604,-0.32,-0.45,21.92,22047
2460660.783811,1.00161,0.00086,1.1598,-0.38,-0.43,21.18,25615
2460660.783960,1.00043,0.00086,1.1592,1.81,0.67,22.62,20105
2460660.784117,1.00096,0.00086,1.1586,1.87,-2.68,22.37,19373
2460660.784273,0.99883,0.00086,1.1579,1.28,0.66,22.64,19820
2460660.784429,0.99949,0.00086,1.1573,1.50,0.88,22.19,19899
2460660.784614,0.99916,0.00086,1.1566,1.24,0.42,22.11,20062
2460660.784770,0.99681,0.00086,1.1560,0.48,-0.02,22.04,21066
2460660.784926,1.00002,0.00086,1.1554,0.01,-0.96,23.18,16959
2460660.785082,0.99925,0.00086,1.1548,-1.04,-0.20,21.86,24067
2460660.785231,0.99777,0.00086,1.1542,2.39,-1.59,25.04,15973
2460660.785388,0.99641,0.00086,1.1536,0.06,2.13,22.45,18445
2460660.785544,0.99685,0.00086,1.1530,1.05,-0.10,22.48,19534
2460660.785701,0.99769,0.00086,1.1523,-1.89,0.54,22.28,22399
2460660.785857,0.99840,0.00085,1.1518,-1.05,-0.87,21.52,22951
2460660.786014,0.99908,0.00085,1.1511,-1.34,0.06,20.99,26413
2460660.786170,1.00112,0.00086,1.1505,-0.68,-0.44,21.60,24803
2460660.786326,1.00149,0.00086,1.1499,0.51,-2.63,21.35,22250
2460660.786475,0.99744,0.00085,1.1494,1.21,0.21,21.00,24586
2460660.786632,0.99780,0.00085,1.1488,0.95,-0.38,20.99,27237
2460660.786788,0.99707,0.00085,1.1482,0.64,1.33,22.69,23980
2460660.786944,0.99955,0.00085,1.1476,-0.11,-1.05,21.58,25903
2460660.787101,0.99880,0.00085,1.1470,-0.07,0.11,20.99,27150
2460660.787251,1.00092,0.00085,1.1464,1.24,1.84,21.17,24875
2460660.787407,0.99921,0.00085,1.1458,0.42,-0.80,20.11,30330
2460660.787563,0.99979,0.00085,1.1453,-0.51,1.78,20.41,30657
2460660.787719,1.00061,0.00085,1.1447,-0.30,-0.38,21.92,27026
